"","Provincia","Comunidad_Autonoma","Longitud","Anchura","Grado_urbanizacion","Grado_ocupacion","Aparcamiento","Aparcamiento_seguridad","Aparcamiento_num_plazas","Coordenada_X","Coordenada_Y","Distancia_Puerto_Deportivo","Distancia_Hospital"
"55","pontevedra","galicia",80,50,"semiurbana","bajo","no","","",-8.7593,42.3973,5.5,15
"56","pontevedra","galicia",100,50,"aislada","medio","no","","",-8.7582,42.4013,5.5,14
"57","pontevedra","galicia",300,10,"urbana","alto","sí","","Menos de 50 plazas",-8.7553,42.4028,5,14
"58","pontevedra","galicia",200,10,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-8.7538,42.4032,5,14
"59","pontevedra","galicia",80,8,"urbana","medio","sí","no vigilado","Menos de 50 plazas",-8.7503,42.4032,5,14
"60","pontevedra","galicia",150,15,"aislada","alto","sí","","Menos de 50 plazas",-8.8384,42.288,12,31
"61","pontevedra","galicia",800,30,"aislada","alto","sí","","Menos de 50 plazas",-8.8442,42.2914,14,33
"62","pontevedra","galicia",130,25,"semiurbana","medio","no","","",-8.8289,42.148,0.7,12
"63","pontevedra","galicia",350,45,"urbana","alto","sí","no vigilado","Menos de 50 plazas",-8.8263,42.1462,0.2,12
"64","illes balears","illes balears",30,55,"semiurbana","medio","sí","no vigilado","Menos de 50 plazas",4.2924,39.8289,10.6,8.6
"65","illes balears","illes balears",120,50,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",4.2811,39.814,11.5,10
"66","alicante/alacant","comunitat valenciana",1,20,"aislada","bajo","no","","",-0.6142,38.1738,9,16
"67","alicante/alacant","comunitat valenciana",600,20,"aislada","medio","sí","no vigilado","Menos de 50 plazas",-0.5095,38.205,4,17
"68","alicante/alacant","comunitat valenciana",60,20,"aislada","medio","no","","",-0.5079,38.2099,4,17
"69","alicante/alacant","comunitat valenciana",60,20,"aislada","medio","sí","no vigilado","Menos de 50 plazas",-0.5077,38.2148,4,18
"70","murcia","murcia, región de",900,10,"semiurbana","medio / bajo","no","","",-0.7412,37.7002,5,47
"71","murcia","murcia, región de",65,50,"aislada","bajo","no","","",-1.4765,37.4617,9,45
"72","murcia","murcia, región de",100,15,"aislada","bajo","no","","",-1.4692,37.4711,11,45
"73","girona","cataluña/catalunya",115,30,"semiurbana","alto","sí","no vigilado","Entre 50 y 100 plazas",2.8172,41.6869,3,4
"74","girona","cataluña/catalunya",40,8,"aislada","bajo","no","","",2.8969,41.7055,3,14
"75","asturias","asturias, principado de",1,60,"semiurbana","alto","sí","","Más de 100 plazas",-5.2129,43.4742,15,30
"76","asturias","asturias, principado de",225,55,"semiurbana","medio / alto","sí","","",-6.8782,43.5618,6,12
"77","asturias","asturias, principado de",80,125,"semiurbana","medio","no","","",-4.9821,43.4578,9,30
"78","cantabria","cantabria",1,40,"aislada","medio","sí","","Menos de 50 plazas",-4.3393,43.3967,22,25
"79","bizkaia","país vasco/euskadi",400,60,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-2.985,43.3957,20,25
"80","bizkaia","país vasco/euskadi",752,260,"aislada","alto","sí","vigilado","Más de 100 plazas",-3.0027,43.3855,11,20
"81","bizkaia","país vasco/euskadi",960,350,"semiurbana","alto","sí","no vigilado","Más de 100 plazas",-3.1216,43.3482,12,15
"82","girona","cataluña/catalunya",210,80,"urbana","alto","sí","no vigilado","Menos de 50 plazas",3.1685,42.1073,2,25
"83","pontevedra","galicia",350,5,"semiurbana","medio","no","","",-8.7606,42.2618,2,21
"84","almería","andalucía",480,15,"aislada","bajo","no","","",-3.0634,36.7471,4,29
"85","almería","andalucía",500,50,"semiurbana","bajo","sí","","Menos de 50 plazas",-3.0094,36.7424,0.7,21
"86","almería","andalucía",490,25,"semiurbana","bajo","no","","",-3.0502,36.7472,3,28
"87","almería","andalucía",1,15,"semiurbana","bajo","no","","",-3.068,36.7463,6,31
"88","almería","andalucía",500,15,"semiurbana","bajo","no","","",-3.0949,36.7479,12,33
"89","almería","andalucía",350,12,"semiurbana","medio","no","","",-3.034,36.7474,1,26
"90","almería","andalucía",500,15,"aislada","bajo","no","","",-3.0409,36.7473,2,27
"91","almería","andalucía",4,15,"aislada","bajo","no","","",-2.9646,36.7418,4,21
"92","almería","andalucía",1,10,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-3.1197,36.7505,15,36
"93","almería","andalucía",1,70,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-3.0249,36.7446,0,21
"94","almería","andalucía",600,35,"urbana","alto","sí","","Más de 100 plazas",-3.0142,36.7447,0,21
"95","almería","andalucía",1,30,"urbana","alto","sí","no vigilado","Entre 50 y 100 plazas",-2.3807,36.8367,7,7
"96","almería","andalucía",1,15,"aislada","bajo","sí","no vigilado","Entre 50 y 100 plazas",-2.4159,36.8178,3,6
"97","almería","andalucía",2,30,"aislada","bajo","no","","",-2.3694,36.8409,10,6
"98","almería","andalucía",1,55,"urbana","bajo","sí","no vigilado","Más de 100 plazas",-2.3286,36.8368,14,2
"99","almería","andalucía",660,30,"semiurbana","medio","sí","no vigilado","Menos de 50 plazas",-2.2175,36.7493,26,19
"100","almería","andalucía",600,30,"semiurbana","medio","sí","no vigilado","Más de 100 plazas",-2.2082,36.7386,26,7
"101","almería","andalucía",150,20,"aislada","medio","sí","no vigilado","Menos de 50 plazas",-2.5161,36.8255,6,10
"102","almería","andalucía",3,100,"aislada","bajo","no","","",-2.2783,36.8116,17,9
